prereqs,target
Subject_54 201A,Subject_37 201
Subject_54 201A,Subject_37 202
Subject_54 201B,Subject_37 202
Subject_37 211,Subject_37 212
Subject_37 211,Subject_37 213
Subject_37 212,Subject_37 213
Subject_37 211,Subject_37 214
Subject_37 213,Subject_37 214
Subject_37 210,Subject_37 219A
Subject_37 211,Subject_37 219A
Subject_37 212,Subject_37 219A
Subject_37 210,Subject_37 219B
Subject_37 211,Subject_37 219B
Subject_37 212,Subject_37 219B
Subject_37 212,Subject_37 231
Subject_54 201B,Subject_37 231
Subject_37 201,Subject_37 241
Subject_37 202,Subject_37 241
Subject_54 201A,Subject_37 241
Subject_54 201B,Subject_37 241
Subject_37 211,Subject_37 242
Subject_37 212,Subject_37 264
Subject_37 213,Subject_37 264
Subject_54 201A,Subject_37 272
Subject_54 201B,Subject_37 272
Subject_23 C10A,Subject_23 10B
Subject_18 5,Subject_23 114
Subject_23 C11A,Subject_23 11B
Subject_23 116,Subject_23 121
Subject_23 117,Subject_23 121
Subject_23 5B,Subject_23 121
Subject_73 125A,Subject_23 121
Subject_73 125B,Subject_23 121
Subject_23 5B,Subject_23 122
Subject_23 C132,Subject_23 133
Subject_23 5B,Subject_23 138
Subject_23 C13A,Subject_23 13B
Subject_23 142B,Subject_23 142C
Subject_23 156AC,Subject_23 158A
Subject_23 158A,Subject_23 158B
Subject_23 C19A,Subject_23 19B
Subject_23 5B,Subject_23 20
Subject_23 142A,Subject_23 261D
Subject_23 C19A,Subject_23 30B
Subject_23 201A,Subject_23 602
Subject_23 201B,Subject_23 602
Subject_23 C7A,Subject_23 7B
Subject_23 C8A,Subject_23 8B
Subject_23 C9A,Subject_23 9B
Subject_23 5B,Subject_23 C132
Subject_23 1A,Subject_23 C143A
Subject_23 C143A,Subject_23 C143B
Subject_23 C151A,Subject_23 C143C
Subject_23 C151A,Subject_23 C151B
Subject_23 C7A,Subject_23 C7B
Subject_23 1A,Subject_23 R1B
Subject_98 151,Subject_69 C152
Subject_69 101,Subject_69 H195
Subject_69 102,Subject_69 H195
Subject_13 1,Subject_13 101
Subject_13 1,Subject_13 105
Subject_13 1,Subject_13 106
Subject_13 1,Subject_13 107
Subject_13 1,Subject_13 110
Subject_13 1,Subject_13 112
Subject_13 3,Subject_13 117
Subject_13 2,Subject_13 121A
Subject_13 2,Subject_13 121AC
Subject_13 2,Subject_13 121B
Subject_13 121A,Subject_13 121C
Subject_13 121AC,Subject_13 121C
Subject_13 121B,Subject_13 121C
Subject_13 2,Subject_13 122
Subject_13 2,Subject_13 122A
Subject_13 2,Subject_13 122C
Subject_13 2,Subject_13 122D
Subject_13 2,Subject_13 122E
Subject_13 2,Subject_13 122F
Subject_13 2,Subject_13 123
Subject_13 2,Subject_13 123A
Subject_13 2,Subject_13 123B
Subject_13 2,Subject_13 123C
Subject_13 2,Subject_13 123D
Subject_13 2,Subject_13 123E
Subject_13 2,Subject_13 124
Subject_13 3,Subject_13 124AC
Subject_13 1,Subject_13 127
Subject_110 1B,Subject_13 127
Subject_13 127A,Subject_13 127B
Subject_12 C142,Subject_13 127B
Subject_12 C142L,Subject_13 127B
Subject_13 2,Subject_13 128
Subject_13 2,Subject_13 128A
Subject_13 2,Subject_13 128M
Subject_13 2,Subject_13 129
Subject_13 2,Subject_13 129A
Subject_13 3,Subject_13 129A
Subject_13 2,Subject_13 129C
Subject_13 2,Subject_13 129D
