sem 0: 	major: ['Letters & Sci Undeclared']: 	1B Mathematics-A 	1 Cognitive Science-A 	98 Education-Credit 	1A Chemistry-A 	1AL Chemistry-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	1B Biology-A 	1 Italian Studies-A 	10 Computer Science-A 	3AL Chemistry-A 	3A Chemistry-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	3B Chemistry-A 	2 Italian Studies-Credit 	61A Computer Science-A 	R5B Scandinavian-A 	3BL Chemistry-A 	sem 3: 	major: ['Letters & Sci Undeclared']: 	70 Computer Science-A 	sem 4: 	major: ['Cognitive Science']: 	3 Italian Studies-A 	132 Philosophy-B 	61B Computer Science-A 	197 Education-Credit 	C127 Cognitive Science-A 	140AC Education-A 	sem 5: 	major: ['Cognitive Science']: 	1AL Biology-A 	1A Biology-A 	9F Computer Science-Credit 	C100 Cognitive Science-A 	100 Linguistics-A 	4 Italian Studies-A 	C61 Molecular & Cell Biology-A 	sem 6: 	major: ['Cognitive Science']: 	131 Integrative Biology-A 	131L Integrative Biology-A 	N140 Psychology-A 	sem 7: 	major: ['Cognitive Science']: 	61C Computer Science-A 	8A Physics-A 	131 Cognitive Science-A 	188 Computer Science-A 	198 Computer Science-Credit 	133 Psychology-A 
label: 	['12 Italian Studies', '186 Computer Science', '8B Physics', '160 Computer Science']
predict: 	['53 Mathematics', '10B Mathematics', '1B Mathematics', '55 Mathematics', 'H54 Mathematics', '16B Mathematics', '1A Mathematics', '16A Mathematics', '32 Mathematics', '54 Mathematics']
correct: 	[]

sem 0: 	major: ['Letters & Sci Undeclared']: 	61A Computer Science-C 	C10 Development Studies-B 	1A Mathematics-C 	3AC Anthropology-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	1B Mathematics-No Credit 	22 Linguistics-Credit 	40 Plant Biology-B 	61B Computer Science-C 	sem 2: 	major: ['Letters & Sci Undeclared']: 	70 Computer Science-B 	sem 3: 	major: ['Letters & Sci Undeclared']: 	100B Economics-B 	20 Statistics-A 	16B Mathematics-A 	50AC Env Sci, Policy, & Mgmt-A 	sem 4: 	major: ['Letters & Sci Undeclared']: 	61C Computer Science-B 	98 Computer Science-Credit 	50 Film-A 	97 Computer Science-Credit 	9E Computer Science-Credit 	sem 5: 	major: ['Letters & Sci Undeclared']: 	W61 Molecular & Cell Biology-B 	160 Computer Science-A 	sem 6: 	major: ['Economics']: 	136 Economics-A 	C171 Economics-A 	198 Computer Science-Credit 	188 Computer Science-B 	197 Computer Science-Credit 
label: 	['1B Mathematics', '169 Computer Science', 'C103 Public Policy', '197 Computer Science']
predict: 	['53 Mathematics', '10B Mathematics', '55 Mathematics', 'H54 Mathematics', '1A Mathematics', '16A Mathematics', '32 Mathematics', '1A Biology', '3B Chemistry', '54 Mathematics']
correct: 	[]

sem 0: 	major: ['Letters & Sci Undeclared']: 	1A Mathematics-A 	98 History-Credit 	4 Spanish-Credit 	1A Chemistry-A 	1AL Chemistry-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	3AL Chemistry-A 	R1B Native American Studies-A 	10 Business Admin-Undergrad-A 	3A Chemistry-A 	2AC Anthropology-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	3BL Chemistry-A 	3B Chemistry-A 	sem 3: 	major: ['Letters & Sci Undeclared']: 	61A Computer Science-Credit 	8A Physics-A 	16B Mathematics-A 	1B Biology-A 	sem 4: 	major: ['Letters & Sci Undeclared']: 	20 Statistics-A 	1AL Biology-A 	1A Biology-B 	8B Physics-A 
label: 	['61B Computer Science', '136 Economics', 'C52 South & SE Asian Studies', '101B Economics']
