sem 0: 	major: ['Letters & Sci Undeclared']: 	98 Education-Credit 	C50 Buddhist Studies-A 	24 English-Credit 	98 Music-Credit 	20A Music-A 	C70V Letters & Science-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	98 Education-Credit 	25A Music-A 	98 Music-Credit 	C103 Public Policy-A 	61 Interdisciplinary Studies-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	177 Dutch-A 	sem 3: 	major: ['Letters & Sci Undeclared']: 	100A Interdisciplinary Studies-A 	R5A South & SE Asian Studies-A 	115 Global Poverty & Practice-A 	sem 4: 	major: ['Letters & Sci Undeclared']: 	100 Legal Studies-A 	61 Molecular & Cell Biology-A 	C100 Development Studies-A 	R1B History of Art-A 	sem 5: 	major: ['Interdisciplinary Studies']: 	183 Anthropology-A 	1B Biology-A 	159AC Geography-A 	150 International & Area Stds-A 	sem 6: 	major: ['Interdisciplinary Studies']: 	8A Physics-B 	104 Gender & Womens Studies-Credit 	1A Chemistry-A 	1AL Chemistry-A 	158AC International & Area Stds-A 	sem 7: 	major: ['Interdisciplinary Studies']: 	189 Interdisciplinary Studies-A 	sem 8: 	major: ['Interdisciplinary Studies']: 	98 Mathematics-Credit 	3A Chemistry-A 	16A Mathematics-A 	123 Geography-A 	3AL Chemistry-A 
label: 	['105 Global Poverty & Practice', '3BL Chemistry', '1A Biology', '3B Chemistry', '1AL Biology']
predict: 	['1A Biology', '110 Molecular & Cell Biology', '3B Chemistry', 'C100A Molecular & Cell Biology', '8B Physics', '104 Molecular & Cell Biology', '1AL Biology', '150 Molecular & Cell Biology', '132 Integrative Biology', '7A Physics']
correct: 	['1A Biology', '3B Chemistry', '1AL Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	1AL Chemistry-A 	1A Mathematics-B 	C30T Letters & Science-A 	2 Physical Education-B 	C70T Letters & Science-B 	1A Chemistry-C 	sem 1: 	major: ['Letters & Sci Undeclared']: 	1 Psychology-A 	3AC Anthropology-A 	3A Chemistry-C 	16B Mathematics-B 	97 Social Welfare-Credit 	sem 2: 	major: ['Letters & Sci Undeclared']: 	N3AL Chemistry-A 	1 Economics-B 	sem 3: 	major: ['Letters & Sci Undeclared']: 	1B Biology-B 	10 Business Admin-Undergrad-B 	125 Theater Dance & Perf Stds-B 	10A Southeast Asian-A 	sem 4: 	major: ['Letters & Sci Undeclared']: 	3BL Chemistry-A 	1B Mathematics-C 	20 Statistics-C 	3B Chemistry-C 	sem 5: 	major: ['Letters & Sci Undeclared']: 	1AL Biology-B 	1A Biology-C 	sem 6: 	major: ['Letters & Sci Undeclared']: 	10 Nutritional Science & Tox-A 	103 Nutritional Science & Tox-B 	8A Physics-B 	131 Integrative Biology-A 
label: 	['8B Physics', '132 Integrative Biology', '132L Integrative Biology']
predict: 	['8B Physics', 'C100A Molecular & Cell Biology', '1A Chemistry', '132 Integrative Biology', '150 Molecular & Cell Biology', '140 Integrative Biology', '120A Chemistry', '130A Molecular & Cell Biology', '137B Physics', '137A Physics']
correct: 	['8B Physics', '132 Integrative Biology']

sem 0: 	major: ['Letters & Sci Undeclared']: 	R1A Rhetoric-B 	1AL Chemistry-A 	1 Psychology-B 	16A Mathematics-B 	1A Chemistry-B 	sem 1: 	major: ['Letters & Sci Undeclared']: 	8A Physics-A 	1A Mathematics-A 	98 Molecular & Cell Biology-Credit 	50AC Env Sci, Policy, & Mgmt-A 	1 Anthropology-A 	98 Mathematics-Credit 	sem 2: 	major: ['Letters & Sci Undeclared']: 	3A Chemistry-B 	R5B Italian Studies-B 	sem 3: 	major: ['Letters & Sci Undeclared']: 	8B Physics-Credit 	1 French-Credit 	3AL Chemistry-B 	1B Mathematics-B 	sem 4: 	major: ['Letters & Sci Undeclared']: 	198 Statistics-Credit 	134 Statistics-C 	98 Computer Science-Credit 	53 Mathematics-C 	61A Computer Science-Credit 	sem 5: 	major: ['Letters & Sci Undeclared']: 	3B Chemistry-C 	3BL Chemistry-B 	45 Music-A 	sem 6: 	major: ['Letters & Sci Undeclared']: 	8B Physics-A 	1A Biology-B 	1 Sociology-B 	1AL Biology-C 
label: 	['169 Integrative Biology', '132 Integrative Biology', '198 Public Health', '116 Public Health', '10 Nutritional Science & Tox']
