sem 0: 	major: ['Letters & Sci Undeclared']: 	7A Japanese-A 	5 Political Science-Credit 	C19 Psychology-Credit 	C10 Physics-B 	sem 1: 	major: ['Letters & Sci Undeclared']: 	1 Sociology-A 	166 Sociology-Credit 	2 Political Science-A 	7B History-B 	sem 2: 	major: ['Letters & Sci Undeclared']: 	1 Political Science-A 	3 Political Science-A 	sem 3: 	major: ['Letters & Sci Undeclared']: 	61A Computer Science-Credit 	R5B Slavic Languages & Lit-B 	54 Mathematics-Credit 	198 Business Admin-Undergrad-Credit 	sem 4: 	major: ['Political Science']: 	12A Philosophy-B 	112A Political Science-B 	154 Legal Studies-B 	1BX Korean-A 	149E Political Science-A 	sem 5: 	major: ['Political Science']: 	W21 Statistics-A 	sem 6: 	major: ['Political Science']: 	100A Economics-B 	190 Public Policy-B 	143B Political Science-B 	136 Economics-B 
label: 	['151 Economics', '186 Political Science', '109P Political Science', '140 Economics']
predict: 	['2 Statistics', '53 Mathematics', '20 Statistics', '140 Economics', '1 Economics', 'C3 Economics', '113 Mathematics', '10B Mathematics', '16B Mathematics', '128A Mathematics']
correct: 	['140 Economics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	16A Mathematics-A 	R1A Near Eastern Studies-A 	C50 Buddhist Studies-Credit 	10 Business Admin-Undergrad-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	C10 Env Sci, Policy, & Mgmt-Credit 	1 Economics-C 	20 Middle Eastern Studies-A 	16B Mathematics-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	W145A Political Science-A 	sem 3: 	major: ['Letters & Sci Undeclared']: 	121 Asian American Studies-A 	100A Economics-A 	121AC Anthropology-A 	80 Earth & Planetary Science-A 	20 Statistics-A 	R1B History of Art-B 	sem 4: 	major: ['Letters & Sci Undeclared']: 	61A Computer Science-B 	151 Economics-A 	20B Asian American Studies-A 	C142 South Asian-A 	sem 5: 	major: ['Economics']: 	102A Business Admin-Undergrad-B 	136 Economics-B 	115 Economics-A 	61B Computer Science-B 
label: 	['133 Economics', '61C Computer Science', '171 Comparative Literature', '117 Sociology', '110 South Asian']
predict: 	['2 Statistics', '53 Mathematics', '54 Mathematics', '140 Economics', 'C3 Economics', '113 Mathematics', '10B Mathematics', 'W21 Statistics', '128A Mathematics', '1B Mathematics']
correct: 	[]

sem 0: 	major: ['Letters & Sci Undeclared']: 	C19 Psychology-A 	1A Mathematics-B 	R1A Theater Dance & Perf Stds-B 	98 English-Credit 	sem 1: 	major: ['Letters & Sci Undeclared']: 	1 Anthropology-A 	3AC Sociology-A 	R1B Native American Studies-A 	4 Political Science-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	98 Computer Science-Credit 	194 Computer Science-B 	140 Psychology-A 	134 Psychology-A 	141 Psychology-A 	sem 3: 	major: ['Psychology']: 	1 Economics-B 	16B Mathematics-A 	10BX Korean-Credit 	20 Statistics-B 	sem 4: 	major: ['Psychology']: 	100A Economics-B 	160 Psychology-B 	190T Business Admin-Undergrad-A 	167 Business Admin-Undergrad-B 
label: 	['152 Economics', '3 Earth & Planetary Science', '101 Psychology', '118C History', '131 Economics']
predict: 	['2 Statistics', '53 Mathematics', '54 Mathematics', '140 Economics', 'C3 Economics', '113 Mathematics', '10B Mathematics', 'W21 Statistics', '1B Mathematics', '128A Mathematics']
correct: 	[]

sem 0: 	major: ['Letters & Sci Undeclared']: 	1B Mathematics-C 	R1B English-C 	1A Chemistry-B 	98 African American Studies-Credit 	1AL Chemistry-B 	sem 1: 	major: ['Letters & Sci Undeclared']: 	1B Chemistry-B 	53 Mathematics-C 	sem 2: 	major: ['Letters & Sci Undeclared']: 	98 African American Studies-Credit 	H7A Physics-C 	15 Chemistry-C 	sem 3: 	major: ['Letters & Sci Undeclared']: 	29 Music-Credit 	94 Peace & Conflict Studies-Credit 	20 Statistics-A 	1 Economics-B 	98 Ethnic Studies-Credit 	98 African American Studies-Credit 	sem 4: 	major: ['Letters & Sci Undeclared']: 	10A Classics-Credit 	10 Nutritional Science & Tox-A 
label: 	['10 Business Admin-Undergrad', '197 African American Studies', '100A Economics', '136 Economics', '94 Peace & Conflict Studies']
predict: 	['133 Statistics', '119 Economics', '115 Economics', 'C151 Environ Econ & Policy', 'C171 Economics', '136 Economics', '101A Economics', '100 Environ Econ & Policy', '152 Environ Econ & Policy', 'C180 Environ Econ & Policy']
correct: 	['136 Economics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	16A Mathematics-A 	1 Psychology-A 	R5A South & SE Asian Studies-B 	sem 1: 	major: ['Letters & Sci Undeclared']: 	16B Mathematics-B 	98 Psychology-Credit 	10 Business Admin-Undergrad-B 	C70U Letters & Science-B 	C103 Public Policy-Credit 	sem 2: 	major: ['Letters & Sci Undeclared']: 	84 English-Credit 	R1B English-A 	1 Economics-A 	7A History-Credit 	sem 3: 	major: ['Letters & Sci Undeclared']: 	45 International & Area Stds-B 	2 Statistics-A 	2 French-A 	sem 4: 	major: ['Letters & Sci Undeclared']: 	100 Political Economy-B 
label: 	['3 French', '101 Political Economy', '100A Economics']
predict: 	['21 Statistics', '53 Mathematics', '20 Statistics', '100A Economics', '54 Mathematics', '140 Economics', 'C3 Economics', '113 Mathematics', '128A Mathematics', 'C110 Economics']
correct: 	['100A Economics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	10 Nutritional Science & Tox-C 	16A Mathematics-B 	3AC Sociology-B 	11 Physical Education-Credit 	C10 Physics-B 	sem 1: 	major: ['Letters & Sci Undeclared']: 	16B Mathematics-C 	11 Physical Education-Credit 	98 Mathematics-Credit 	5 History-B 	R1A English-B 	sem 2: 	major: ['Letters & Sci Undeclared']: 	R1B Native American Studies-B 	C30T Letters & Science-Credit 	10 Business Admin-Undergrad-C 	11 Physical Education-Credit 	1 Economics-C 	sem 3: 	major: ['Letters & Sci Undeclared']: 	100A Economics-C 	1 German-B 	100U History-Credit 	11 Physical Education-Credit 	sem 4: 	major: ['Letters & Sci Undeclared']: 	2 German-Credit 	11 Physical Education-Credit 	45 International & Area Stds-B 	21 Statistics-C 	135A Chicano Studies-A 
label: 	['11 Physical Education', '3 German', '158C History', '100B Economics', '127AC History']
predict: 	['C101 Environ Econ & Policy', '133 Statistics', 'C151 Environ Econ & Policy', 'H54 Mathematics', '121A Mathematics', '115 Economics', 'C171 Economics', '136 Economics', '101A Economics', '157 Economics']
correct: 	[]

