sem 0: 	major: ['Urban Studies']: 	N2 College Writing Programs-Credit 	96 Mathematics-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	R1A College Writing Programs-B 	98 Molecular & Cell Biology-Credit 	98 Mathematics-Credit 	32 Mathematics-A 	1A Vietnamese-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	16A Mathematics-B 	1AL Chemistry-C 	1A Chemistry-No Credit 	10 Nutritional Science & Tox-B 	1B Vietnamese-A 	sem 3: 	major: ['Letters & Sci Undeclared']: 	16B Mathematics-A 	1A Chemistry-D 	sem 4: 	major: ['Letters & Sci Undeclared']: 	R4B College Writing Programs-C 	100A Vietnamese-A 	C96 Plant Biology-Credit 	3AC Anthropology-B 	32 Molecular & Cell Biology-B 	sem 5: 	major: ['Letters & Sci Undeclared']: 	100B Vietnamese-A 	116 Public Health-Credit 	1B Biology-B 	1 Psychology-B 	sem 6: 	major: ['Letters & Sci Undeclared']: 	3AC Sociology-A 	W12 Astronomy-A 	sem 7: 	major: ['L&S Public Health']: 	181 Public Health-A 	C155 Public Health-B 	101A Vietnamese-A 	150B Public Health-A 	sem 8: 	major: ['L&S Public Health']: 	150A Public Health-B 	15 Molecular & Cell Biology-A 	142 Public Health-A 	10B Southeast Asian-A 	sem 9: 	major: ['L&S Public Health', 'South & SE Asian Studies']: 	198 Public Health-Credit 	120 South & SE Asian Studies-A 	10A Southeast Asian-A 	143 Asian American Studies-A 
label: 	['101B Vietnamese', '111D History', '120 South & SE Asian Studies']
predict: 	['10B Mathematics', '54 Mathematics', '1A Mathematics', '1B Chemistry', '4B Chemistry', '61A Computer Science', '61B Computer Science', 'H54 Mathematics', '7C Physics', 'H7C Physics']
correct: 	[]

sem 0: 	major: ['Letters & Sci Undeclared']: 	C30T Letters & Science-Credit 	1 Economics-B 	16A Mathematics-B 	27 Music-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	20A Asian American Studies-A 	10 Business Admin-Undergrad-A 	16B Mathematics-B 	26AC Music-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	6 Psychology-A 	W21 Statistics-B 	sem 3: 	major: ['Letters & Sci Undeclared']: 	100 Linguistics-A 	10 Media Studies-A 	116 Public Health-Credit 	98 Psychology-Credit 	80 Earth & Planetary Science-A 	sem 4: 	major: ['Letters & Sci Undeclared']: 	1 Psychology-A 	10Y Chinese-A 	115 Linguistics-C 	50 Molecular & Cell Biology-A 	1 Anthropology-A 	sem 5: 	major: ['Letters & Sci Undeclared']: 	63 Molecular & Cell Biology-A 	3AC Anthropology-A 	sem 6: 	major: ['Psychology']: 	130 Psychology-A 	105 Business Admin-Undergrad-A 	1 Physical Education-Credit 	1A Korean-A 	110 Linguistics-A 	198 Computer Science-Credit 
label: 	['101 Psychology', '131 Psychology', '113 Linguistics', 'C143 Psychology']
predict: 	['1A Biology', '10B Mathematics', '3B Chemistry', '53 Mathematics', '1B Mathematics', '7A Physics', '1B Biology', '3A Chemistry', '54 Mathematics', '8B Physics']
correct: 	[]

sem 0: 	major: ['Bioengineering']: 	159AC Ethnic Studies-A 	10 Bioengineering-A 	53 Mathematics-C 	24 Bioengineering-Credit 	7 Engineering-B 	sem 1: 	major: ['Bioengineering']: 	98 Bioengineering-Credit 	134 Statistics-B 	98 Music-Credit 	25 Bioengineering-Credit 	54 Mathematics-B 	3A Chemistry-C 	C85 Mechanical Engineering-C 	sem 2: 	major: ['Bioengineering']: 	N3AL Chemistry-A 	7B Physics-A 	sem 3: 	major: ['Bioengineering']: 	R1B Legal Studies-A 	104 Mechanical Engineering-C 	C100A Molecular & Cell Biology-B 	102 Bioengineering-A 	sem 4: 	major: ['Bioengineering']: 	115 Bioengineering-A 	100B Molecular & Cell Biology-C 	110 Bioengineering-B 	104 Bioengineering-B 	sem 5: 	major: ['Bioengineering']: 	198 Engineering-Credit 	162 Env Sci, Policy, & Mgmt-A 	192 Bioengineering-A 	C119 Bioengineering-B 	3B Chemistry-C 	7A Physics-B 
label: 	['C103 Public Policy', '1B Biology', '3BL Chemistry']
predict: 	['10B Mathematics', '1B Mathematics', '1B Biology', '8B Physics', '1AL Biology', '1A Mathematics', '55 Mathematics', '61B Computer Science', '4B Chemistry', '8A Physics']
correct: 	['1B Biology']

sem 0: 	major: ['Molecular Environ Biology']: 	98 Mathematics-Credit 	N2 College Writing Programs-Credit 	96 Mathematics-A 	24 Psychology-Credit 	sem 1: 	major: ['Environmental Sciences']: 	R1A College Writing Programs-F 	98 Mathematics-Credit 	98 Env Sci, Policy, & Mgmt-No Credit 	32 Mathematics-C 
label: 	['1 College Writing Programs', '98BC Mathematics', '98 Mathematics', '16A Mathematics', 'R1A College Writing Programs']
predict: 	['39A Earth & Planetary Science', '24 Computer Science', '24 Chemistry', '24 History', '13 Art Practice', '3 German', '29 Music', '20B Hebrew', '24 Psychology', '4B Environmental Design']
correct: 	[]

sem 0: 	major: ['Chemical Biology']: 	190 Religious Studies-A 	96 Chemistry-Credit 	2 Spanish-Credit 	4A Chemistry-D 
label: 	['26AC Music', '1AL Chemistry', '97 Social Welfare', '15 Molecular & Cell Biology', '1A Mathematics', '98 Mathematics', '1A Chemistry']
predict: 	['1B Biology', '8A Physics', '61A Computer Science', '1B Chemistry', '39A Earth & Planetary Science', '3AL Chemistry', '3BL Chemistry', '61AS Computer Science', 'C10 Physics', '16A Mathematics']
correct: 	[]

sem 0: 	major: ['Letters & Sci Undeclared']: 	R1B History of Art-A 	1 Sociology-B 	1 Political Science-B 	35AC Integrative Biology-A 
label: 	['1 Economics', '116 Public Health', '4 Philosophy', '2 Statistics', '70A Letters & Science']
predict: 	['53 Mathematics', '1A Biology', '10B Mathematics', '3B Chemistry', '54 Mathematics', '1B Mathematics', '7A Physics', '3A Chemistry', '1B Biology', '8B Physics']
correct: 	[]

sem 0: 	major: ['Letters & Sci Undeclared']: 	2 Psychology-A 	54 Mathematics-B 	10 Computer Science-A 	98 Mechanical Engineering-Credit 	C64 Molecular & Cell Biology-A 
label: 	['R1B English', '7A Physics', '61A Computer Science', '11 Linguistics', '24 Vision Science']
predict: 	['53 Mathematics', '1A Biology', '3B Chemistry', '10B Mathematics', '1B Mathematics', '54 Mathematics', '7A Physics', '8B Physics', '3A Chemistry', '1B Biology']
correct: 	['7A Physics']

